Data
"Analisis dan Implementasi Load Balancing pada Web Server dengan Algoritma Least Connection.	"
"Analisis Dan Pemodelan Sistem Pengadaan Barang Dengan Supply Chain Management Pada Pabrik Toys Factory Baiducha Technology	"
"Analisis Dan Rancang Bangun Aplikasi Enterprise Resource Planning Education Pada SMKN 2 Buduran.	"
"Analisis Implementasi persona Pada Penerapan Metode Evaluasi Usability Heuristic Evaluation. Studi Kasus : Situs Web Fakultas Ilmu Komputer Universitas Brawijaya (Filkom UB)	"
"Analisis Kinerja Protokol Routing Open Shortest Path First Pada Teknologi Software-Defined Networking	"
"Analisis Openflow Load Balancing Web Server Dengan Algoritma Least Connection Pada Software Defined Network	"
"Analisis Perbandingan Algoritma Dijkstra Dan Bellman-Ford Untuk Menentukan Rute Terpendek Dengan Menggunakan Software Defined Network	"
"Analisis Protokol routing OSPF (Open Shortest Path First) pada Wireless Mesh Network dalam kasus traffic data Voice	"
"Analisis Sentimen Opini Film Berbahasa Indonesia Berbasis Kamus Menggunakan Metode Neighbor- Weigthed K-Nearest Neighbor	"
"Analisis Sentimen Pencitraan Elite Politik Berdasarkan Opini Melalui Media Sosial Twitter Menggunakan Metode Additive Kernel SVM	"
"Analisis Usability Pada Website Universitas Brawijaya Dengan Heuristic Evaluation	"
"Aplikasi Penentuan Rute Lokasi Kuliner Di Kota Malang Berbasis Gis Menggunakan Metode A*	"
"Diagnosa Penyakit Tanaman Cabai Merah Menggunakan Metode Modified K-Nearest Neighbor (MK-NN)	"
"Implementasi Algoritma Genetika Untuk Optimasi Komposisi Makanan Bagi Penderita Diabetes Mellitus.	"
"Implementasi Algoritma Modified K-Nearest Neighbor (MKNN) untuk Klasifikasi Diagnosa Penyakit pada Kucing	"
"Implementasi Algoritma Particle Swarm Optimization Untuk Optimasi Fungsi Keanggotaan Sistem Inferensifuzzy Mamdanipada Penyakit Hepatitis	"
"Implementasi Algoritma Subtractive Clustering Untuk Pembangkitan Aturan Fuzzy Pada Rekomendasi Penerima Beasiswa	"
"Implementasi algoritma support vector machine (svm) untuk penentuan potensi bencana tsunami akibat gempa bumi	"
"Implementasi Algoritma Svm (Support Vector Machine) Untuk Mengetahui Tingkat Risiko Penyakit Stroke	"
"Implementasi Analytic Network Process (ANP) Dalam Sistem Pendukung Keputusan Pemilihan Kontraktor (StudiKasus PT. Pelabuhan Indonesia III (Persero) CabangTanjung Perak)	"
"Implementasi Fuzzy Support Vector Machine Untuk Pengklasifikasian Genre Musik Berdasarkan Fitur Audio.	"
"Implementasi Jaringan Syaraf Tiruan Dengan Metode Pembelajaran Rprop (Resilient Backpropagation) Untuk Klasifikasi Status Tahapan Keluarga Sejahtera	"
"Implementasi Metode AHP – Fuzzy TOPSIS Untuk Rekomendasi Penentuan Tingkat Kualitas Produktivitas Ayam Ras Petelur	"
"Implementasi Metode Analytic Network Process (Anp) Untuk Aplikasi Rekomendasi Peringkat Kinerja Guru Pada Sma Negeri 1 Maospati	"
"Implementasi Metode Fuzzy Analytical Hierarchy Process (F-Ahp) Untuk Pemilihan Sumber Daya Manusia Dalam Kepanitiaan Organisasi Mahasiswa	"
"Implementasi Metode Fuzzy-Ahp Untuk Rekomendasi Seleksi Penerimaan Anggota Baru Paduan Suara (Studi Kasus: Paduan Suara Mahasiswa Universitas Brawijaya)	"
"Implementasi Metode Improved K-Nearest Neighbor pada Analisis Sentimen Twitter Berbahasa Indonesia.	"
"Implementasi Metode Klustering Untuk Klasifikasi Kanker Payudara Menggunakan Algoritma Naïve Bayes Dan K-Means	"
"Implementasi Metode Support Vector Machine (SVM) Untuk Deteksi Penyakit Pada Daun Apel Menggunakan Citra Digital	"
"Implementasi Metode Topsis - Multiple Attribute Decision Making Untuk Pemilihan Karyawan Berprestasi Berdasarkan Kinerja (Studi Kasus Pada PT Sierad Produce, tbk)	"
"Implementasi Mobile Ad Hoc Network (MANET) Menggunakan Protokol Routing OLSR Pada Perangkat Heterogen	"
"Implementasi Real-time Pathfinding menggunakan A* dan Reynolds Steering Obstacle Avoidance pada Permainan Komputer	"
"Implementasi Wifi Network dan Virtual Private Network dengan menggunakan Radio Point to Point Berbasis Mikrotik pada UKM Menwa Universitas Brawijaya,	"
"Klasifikasi Dokumen Tanaman Obat Menggunakan Metode Neighbor Weighted K-Nearest Neighbor (NWKNN).	"
"Klasifikasi Penyakit Gigi dan Mulut Menggunakan Metode Learning Vector Quantization (Lvq)	"
"Klasifikasi Tingkat Kerusakan Jalan Rel Kereta Api Menggunakan Metode Support Vector Machine (Svm) (Studi Kasus : Jalan Rel 8.16 Malang)	"
"Optimasi Asupan Gizi Pada Ibu Hamil Dengan Menggunakan Algoritma Genetika	"
"Optimasi Fungsi Keanggotaan Fuzzy Menggunakan Algoritma Particle Swarm Optimization (Pso) Pada Sistem Inferensi Fuzzy Penentuan Jurusan Siswa SMA	"
"Optimasi Fungsi Keanggotaan Fuzzy Tsukamoto Dua Tahap Menggunakan Algoritma Genetika Pada Pemilihan Calon Penerima Beasiswa-PPA dan BBP-PPA (Studi Kasus: PTIIK Universitas Brawijaya Malang)	"
"Optimasi Komposisi Makanan Untuk Penderita Kolesterol Menggunakan Algoritma Genetika	"
"Optimasi Penjadwalan Perawat Menggunakan Algoritma Genetika	"
"Optimasi Rute Angkutan Kota Malang Dengan Penerapan Algoritma Genetika	"
"Pelaporan Dan Pengolahan Data Pajak Bumi Dan Bangunan (PBB) Kabupaten Jombang Berbasis Web Menggunakan Framework CodeIgniter.	"
"Pembangkitan Aturan Fuzzy Menggunakan Metode Subtractive Clustering Untuk Deteksi Dini Risiko Penyakit Stroke	"
"Penerapan Algoritma Genetika Untuk Optimasi Fungsi Keanggotaan Fuzzy Inference System Model Sugeno Pada Perhitungan Angka Metabolisme Basal (AMB).	"
"Penerapan Algoritma Improved K-Means Pada Pengelompokan Data Tingkat Kesehatan Jantung.	"
"Penerapan Delay Tolerant Network (DTN) untuk Sistem Konsultasi Kesehatan Jarak Jauh Berbasis Web,	"
"Penerapan Metode Analytic Network Process (Anp) Sebagai Sistem Pengambil Keputusan Untuk Aplikasi Pemilihan Penginapan Di Kota Batu	"
"Penerapan Metode Fuzzy Time Series Average-Based Pada Peramalan Data Harian Penampungan Susu Sapi	"
"Pengembangan Sistem Informasi Supplier Relationship Management (SRM) Pada Clove Clothing Company	"
"Penggunaan Fuzzy Failure Mode And Effect Analysis (Fuzzy Fmea) Dalam Mengidentifikasi Resiko Kegagalan Proses Pemasangan Dan Perbaikan Ac (Di Cv. Agung Jaya Abadi)	"
"Penggunaan Metode Pengelompokan K-Means Pada Klasifikasi KNN Untuk Penentuan Jenis Kanker Berdasarkan Susunan Protein	"
"Penggunaan Usability Testing Untuk Menguji Prototype Crm Pada Cv Tiga Putra	"
"Pengkategorian Pesan Singkat Berbahasa Indonesia Pada Jejaring Sosial Twitter Dengan Metode Klasifikasinaïve Bayes	"
"Pengklasifikasian Kualitas Minuman Anggur Menggunakan Algoritma Learning Vector Quantization Berbasis Asosiasi	"
"Pengklasifikasian Mutu Susu Sapi Menggunakan Metode Learning Vector Quantization (LVQ) (Studi Kasus: UPT Laboratorium Kesehatan Hewan Malang)	"
"Penjadwalan Pengawas Ujian Semester Menggunakan Algoritma Genetika (Studi Kasus : Fakultas Ilmu Komputer Universitas Brawijaya)	"
"Peramalan Produksi Gula Pasir Menggunakan Extreme Learning Machine (ELM) pada PG Candi Baru Sidoarjo	"
"Peramalan Time Series Saham Menggunakan Backrpopagaion Neural Network Berbasis Algoritma Genetika	"
"Perancangan Aplikasi Pengolahan Citra Digital Untuk Mendeteksi Hama Dan Penyakit Pada Tanaman Jagung	"
"Perancangan dan Analisis Data Sistem Informasi Inventaris PTIIK dengan Menggunakan QR Code.	"
"Perancangan Dan Analisis Sistem Peramalan Dan Rekomendasi Penyediaan Subjek Buku Pada Perpustakaan Universitas Brawijaya Menggunakan Metode Arima	"
"Perancangan dan Implementasi Sistem Pakar Pendukung Diagnosa Penyakit Anjing dengan Metode Bayesian Network.	"
"Perancangan Dan Implementasi Video Streaming Client Android Dalam Jaringan Wireless LAN Di Teknik Informatika Universitas Brawijaya.	"
"Perancangan Sistem Pertukaran Informasi Di Pedesaan Berbasis Delay Tolerant Network menggunakan Raspberry PI.	"
"Prediksi Jumlah Permintaan Koran Menggunakan Metode Extreme Learning Machine	"
"Prediksi Tingkat Risiko Penyakit Jantung Koroner (PJK) Menggunakan Metode Fuzzy K-Nearest Neighbor (FK-NN)	"
"Rancang Bangun Aplikasi Informasi Gedung Di Universitas Brawijaya Malang Pada Posisi Pengguna Dengan Sistem Operasi Android	"
"Rancang Bangun Aplikasi Informasi Gedung universitas Brawijaya Pada Smartphone Android	"
"Rancang Bangun Aplikasi Jejaring Sosial Kampus Berbasis GPS Pada Smartphone Android.	"
"Rancang Bangun Aplikasi Simulasi Gadai Pada Smartphone Android	"
"Rancang Bangun E-Learning Berbasis Moodle Menggunakan Aplikasi Mobile Android	"
